ID,center_x,center_y,jinkou
227,1443.5,1304.5,84
228,1443.0,1304.0,150
229,1443.5,1304.0,14
230,1444.0,1304.5,138
231,1444.5,1304.5,147
232,1444.0,1304.0,108
233,1444.5,1304.0,38
234,1445.0,1304.5,117
235,1445.5,1304.5,111
236,1445.0,1304.0,78
237,1445.5,1304.0,50
238,1446.0,1304.5,64
239,1446.5,1304.5,37
240,1446.0,1304.0,17
241,1446.5,1304.0,14
242,1447.0,1304.5,167
243,1447.5,1304.5,143
244,1447.0,1304.0,33
245,1447.5,1304.0,22
246,1448.0,1304.5,61
247,1448.5,1304.5,32
248,1448.0,1304.0,161
249,1448.5,1304.0,50
250,1449.0,1304.5,121
251,1449.5,1304.5,105
252,1449.0,1304.0,40
253,1440.0,1303.5,211
254,1440.5,1303.5,36
255,1440.0,1303.0,54
256,1440.5,1303.0,33
257,1441.0,1303.5,38
258,1441.5,1303.5,17
259,1441.0,1303.0,46
260,1441.5,1303.0,69
261,1442.0,1303.5,12
262,1442.5,1303.5,57
263,1442.0,1303.0,21
264,1442.5,1303.0,33
265,1443.0,1303.5,79
266,1443.5,1303.5,55
267,1443.0,1303.0,42
268,1443.5,1303.0,17
269,1444.0,1303.5,57
270,1444.5,1303.5,48
271,1444.0,1303.0,16
272,1444.5,1303.0,5
273,1445.0,1303.5,38
274,1445.5,1303.5,48
275,1445.0,1303.0,7
276,1445.5,1303.0,31
277,1446.0,1303.5,56
278,1446.5,1303.5,11
279,1447.0,1303.5,13
280,1447.5,1303.5,101
281,1447.5,1303.0,45
282,1448.0,1303.5,23
283,1448.0,1303.0,17
284,1440.0,1302.5,24
285,1440.5,1302.5,16
286,1440.0,1302.0,14
287,1440.5,1302.0,7
288,1441.0,1302.5,21
289,1441.5,1302.5,20
290,1441.0,1302.0,5
291,1442.0,1302.5,25
292,1442.5,1302.5,4
293,1444.0,1302.5,25
294,1445.5,1302.5,20
295,1445.5,1302.0,42
296,1448.0,1302.5,12
297,1445.5,1301.5,24
298,1448.5,1301.5,1
299,1455.5,1306.0,7
300,1457.0,1306.0,4
301,1450.0,1305.5,20
302,1450.5,1305.5,2
303,1450.0,1305.0,689
304,1450.5,1305.0,195
305,1451.0,1305.5,274
306,1451.5,1305.5,574
307,1451.0,1305.0,143
308,1451.5,1305.0,133
309,1452.0,1305.5,107
310,1452.0,1305.0,650
311,1452.5,1305.0,679
312,1453.0,1305.0,285
313,1453.5,1305.0,196
314,1454.0,1305.5,9
315,1454.0,1305.0,72
316,1454.5,1305.0,34
317,1455.5,1305.5,177
318,1455.0,1305.0,2
319,1455.5,1305.0,458
320,1456.0,1305.5,61
321,1456.0,1305.0,215
322,1457.0,1305.5,8
323,1457.5,1305.5,130
324,1457.0,1305.0,35
325,1457.5,1305.0,28
326,1458.0,1305.5,6
327,1458.0,1305.0,55
328,1458.5,1305.0,297
329,1450.0,1304.5,1
330,1450.5,1304.0,1
331,1451.5,1304.5,25
332,1451.5,1304.0,24
333,1452.0,1304.5,397
334,1452.5,1304.5,65
335,1452.0,1304.0,185
336,1453.0,1304.5,222
337,1453.5,1304.5,142
338,1453.5,1304.0,7
339,1454.5,1304.5,24
340,1455.0,1304.5,240
341,1455.5,1304.5,414
342,1455.0,1304.0,193
343,1455.5,1304.0,90
344,1456.5,1304.5,3
345,1457.0,1304.0,25
346,1457.5,1304.0,20
347,1458.5,1304.5,29
348,1458.0,1304.0,39
349,1458.5,1304.0,38
350,1459.0,1304.5,9
351,1459.0,1304.0,54
352,1459.5,1304.0,98
353,1450.0,1303.5,8
354,1450.0,1303.0,1
355,1452.0,1303.5,17
356,1452.0,1303.0,31
357,1453.5,1303.5,2
358,1455.0,1303.5,58
359,1455.5,1303.5,3
360,1455.0,1303.0,13
361,1455.5,1303.0,20
362,1457.0,1303.5,16
363,1457.5,1303.5,31
364,1457.0,1303.0,21
365,1457.5,1303.0,8
366,1458.0,1303.5,149
367,1458.5,1303.5,151
368,1458.0,1303.0,33
369,1459.0,1303.5,14
370,1459.5,1303.5,566
371,1459.0,1303.0,28
372,1459.5,1303.0,117
373,1455.5,1302.5,56
374,1455.5,1302.0,7
375,1457.0,1302.5,7
376,1457.5,1302.5,3
377,1457.0,1302.0,4
378,1457.5,1302.0,34
379,1458.0,1302.0,32
380,1458.5,1302.0,21
381,1459.0,1302.0,36
382,1459.5,1302.0,21
383,1451.5,1301.0,5
384,1452.0,1301.0,5
385,1457.0,1301.0,6
386,1457.5,1301.0,8
387,1458.0,1301.5,16
388,1458.5,1301.5,113
389,1458.0,1301.0,56
390,1458.5,1301.0,24
391,1459.0,1301.5,38
392,1459.5,1301.5,81
393,1459.0,1301.0,36
394,1459.5,1301.0,33
395,1451.5,1300.5,41
396,1452.0,1300.5,19
397,1456.5,1300.5,25
398,1456.5,1300.0,72
399,1457.0,1300.5,44
400,1457.5,1300.5,36
401,1457.0,1300.0,13
402,1458.0,1300.5,48
403,1458.5,1300.5,10
404,1458.0,1300.0,50
405,1458.5,1300.0,25
406,1459.5,1300.5,64
407,1459.5,1300.0,19
408,1460.0,1303.5,497
409,1460.5,1303.5,4
410,1460.0,1303.0,109
411,1460.5,1303.0,233
412,1461.0,1303.5,63
413,1461.5,1303.5,7
414,1461.0,1303.0,109
415,1461.5,1303.0,242
416,1462.0,1303.5,101
417,1462.5,1303.5,49
418,1462.0,1303.0,309
419,1462.5,1303.0,151
420,1463.0,1303.0,75
421,1464.5,1303.0,4
422,1465.0,1303.0,10
423,1465.5,1303.0,59
424,1460.5,1302.5,21
425,1460.0,1302.0,5
426,1461.0,1302.5,3
427,1461.5,1302.5,17
428,1461.5,1302.0,34
429,1462.0,1302.5,47
430,1462.5,1302.5,8
431,1462.0,1302.0,15
432,1462.5,1302.0,4
433,1463.0,1302.5,248
434,1463.5,1302.5,2
435,1463.0,1302.0,285
