ID,center_x,center_y,jinkou
0,1440.0,1279.5,45
1,1440.5,1279.5,22
2,1440.0,1279.0,15
3,1441.0,1279.0,6
4,1442.0,1279.5,56
5,1442.5,1279.5,57
6,1442.0,1279.0,46
7,1442.5,1279.0,72
8,1443.0,1279.5,49
9,1443.5,1279.5,182
10,1443.0,1279.0,35
11,1443.5,1279.0,103
12,1444.0,1279.5,12
13,1444.5,1279.5,67
14,1444.5,1279.0,54
15,1445.0,1279.5,46
16,1445.5,1279.5,27
17,1446.0,1279.0,14
18,1447.0,1279.0,11
19,1447.5,1279.0,1
20,1448.0,1279.5,1
21,1448.0,1279.0,12
22,1449.5,1279.5,2
23,1440.0,1278.5,3
24,1441.5,1278.0,59
25,1442.5,1278.5,29
26,1442.0,1278.0,6
27,1442.5,1278.0,20
28,1443.0,1278.5,76
29,1443.5,1278.5,26
30,1443.0,1278.0,76
31,1443.5,1278.0,4
32,1444.0,1278.5,49
33,1444.5,1278.5,60
34,1444.5,1278.0,157
35,1445.0,1278.0,35
36,1445.5,1278.0,10
37,1446.5,1278.5,15
38,1446.0,1278.0,24
39,1446.5,1278.0,57
40,1447.0,1278.5,31
41,1447.5,1278.0,2
42,1448.0,1278.5,2
43,1448.5,1278.5,4
44,1448.0,1278.0,2
45,1449.5,1278.0,2
46,1440.5,1277.5,10
47,1440.0,1277.0,23
48,1440.5,1277.0,40
49,1441.5,1277.5,7
50,1441.0,1277.0,95
51,1441.5,1277.0,36
52,1442.0,1277.5,179
53,1442.5,1277.5,44
54,1442.5,1277.0,13
55,1443.0,1277.5,97
56,1443.5,1277.5,74
57,1443.0,1277.0,187
58,1443.5,1277.0,80
59,1444.0,1277.5,47
60,1444.5,1277.5,83
61,1444.0,1277.0,32
62,1444.5,1277.0,140
63,1445.0,1277.5,36
64,1445.0,1277.0,34
65,1446.0,1277.0,40
66,1447.0,1277.5,3
67,1447.5,1277.5,20
68,1447.5,1277.0,19
69,1448.0,1277.5,4
70,1448.5,1277.5,1
71,1448.5,1277.0,59
72,1449.0,1277.5,10
73,1449.0,1277.0,11
74,1440.0,1276.5,17
75,1440.5,1276.5,41
76,1440.0,1276.0,38
77,1440.5,1276.0,38
78,1441.0,1276.5,15
79,1441.5,1276.5,6
80,1441.0,1276.0,77
81,1442.5,1276.5,15
82,1442.5,1276.0,52
83,1443.0,1276.5,113
84,1443.5,1276.5,70
85,1443.0,1276.0,66
86,1443.5,1276.0,89
87,1444.0,1276.5,4
88,1444.5,1276.5,215
89,1444.0,1276.0,133
90,1444.5,1276.0,539
91,1445.0,1276.5,138
92,1445.0,1276.0,412
93,1445.5,1276.0,92
94,1446.0,1276.5,29
95,1446.5,1276.5,10
96,1446.0,1276.0,13
97,1446.5,1276.0,3
98,1447.0,1276.5,11
99,1447.5,1276.5,2
100,1447.0,1276.0,39
101,1447.5,1276.0,41
102,1448.5,1276.5,62
103,1448.0,1276.0,12
104,1440.0,1275.5,45
105,1440.0,1275.0,4
106,1440.5,1275.0,103
107,1441.0,1275.5,31
108,1441.0,1275.0,8
109,1441.5,1275.0,25
110,1442.5,1275.5,49
111,1442.5,1275.0,191
112,1443.0,1275.5,38
113,1443.5,1275.5,49
114,1443.0,1275.0,40
115,1444.0,1275.5,31
116,1444.5,1275.5,428
117,1444.0,1275.0,167
118,1444.5,1275.0,325
119,1445.0,1275.5,369
120,1445.5,1275.5,327
121,1445.0,1275.0,94
122,1446.0,1275.5,253
123,1446.5,1275.5,80
124,1446.0,1275.0,15
125,1446.5,1275.0,22
126,1447.0,1275.5,33
127,1447.5,1275.5,22
128,1447.5,1275.0,1
129,1448.0,1275.5,12
130,1448.5,1275.5,4
131,1448.0,1275.0,9
132,1448.5,1275.0,36
133,1440.0,1274.5,25
134,1440.5,1274.5,53
135,1440.0,1274.0,9
136,1440.5,1274.0,39
137,1441.0,1274.5,388
138,1441.5,1274.5,123
139,1441.0,1274.0,317
140,1441.5,1274.0,246
141,1442.0,1274.5,202
142,1442.5,1274.5,41
143,1442.0,1274.0,160
144,1442.5,1274.0,137
145,1443.0,1274.5,68
146,1443.0,1274.0,34
147,1443.5,1274.0,5
148,1444.5,1274.5,136
149,1444.5,1274.0,16
150,1445.0,1274.5,145
151,1445.0,1274.0,95
152,1445.5,1274.0,19
153,1447.0,1274.0,4
154,1449.0,1274.5,29
155,1449.5,1274.5,5
156,1449.0,1274.0,1
157,1440.0,1273.5,10
158,1440.5,1273.5,308
159,1440.0,1273.0,152
160,1440.5,1273.0,49
161,1441.0,1273.5,478
162,1441.5,1273.5,589
163,1441.5,1273.0,139
164,1442.0,1273.5,178
165,1442.5,1273.5,235
166,1442.5,1273.0,230
167,1443.0,1273.5,407
168,1443.5,1273.5,141
169,1443.0,1273.0,124
170,1443.5,1273.0,235
171,1444.0,1273.5,179
172,1444.5,1273.5,85
173,1444.0,1273.0,241
174,1444.5,1273.0,144
175,1445.0,1273.5,48
176,1445.0,1273.0,71
177,1445.5,1273.0,5
178,1446.0,1273.0,48
179,1446.5,1273.0,2
180,1447.5,1273.5,26
181,1447.0,1273.0,5
182,1447.5,1273.0,42
183,1448.0,1273.0,309
184,1448.5,1273.0,12
185,1449.0,1273.5,3
186,1440.0,1272.5,40
187,1440.5,1272.5,8
188,1440.0,1272.0,118
189,1440.5,1272.0,16
190,1441.0,1272.5,37
191,1441.5,1272.5,150
192,1441.0,1272.0,59
193,1441.5,1272.0,79
194,1442.0,1272.5,15
195,1442.0,1272.0,33
196,1443.0,1272.5,121
197,1443.5,1272.5,50
198,1443.0,1272.0,256
199,1443.5,1272.0,383
200,1444.0,1272.5,41
201,1444.5,1272.5,34
202,1444.0,1272.0,149
