ID,center_x,center_y,jinkou
0,1360.0,1350.0,8
1,1388.5,1355.5,2
2,1389.0,1355.0,7
3,1389.5,1355.0,2
4,1388.5,1354.5,19
5,1388.5,1354.0,3
6,1389.5,1354.5,4
7,1389.0,1354.0,3
8,1388.0,1353.5,2
9,1388.0,1353.0,12
10,1388.0,1352.5,82
11,1388.5,1352.5,9
12,1388.0,1352.0,181
13,1388.5,1352.0,44
14,1388.5,1351.5,25
15,1388.5,1351.0,66
16,1388.0,1350.5,1
17,1388.5,1350.5,98
18,1388.0,1350.0,243
19,1388.5,1350.0,401
20,1389.0,1350.5,40
21,1389.0,1350.0,70
22,1389.5,1350.0,4
23,1392.5,1358.0,24
24,1393.0,1358.0,216
25,1393.5,1358.0,23
26,1394.0,1358.0,4
27,1394.5,1358.0,192
28,1395.0,1358.0,35
29,1391.0,1357.0,19
30,1391.5,1357.0,10
31,1392.0,1357.5,53
32,1392.5,1357.5,162
33,1392.0,1357.0,35
34,1392.5,1357.0,23
35,1393.0,1357.5,178
36,1393.5,1357.5,103
37,1393.5,1357.0,23
38,1394.0,1357.5,45
39,1394.5,1357.5,260
40,1394.0,1357.0,52
41,1394.5,1357.0,102
42,1395.0,1357.5,180
43,1395.5,1357.5,14
44,1395.0,1357.0,270
45,1390.5,1356.5,17
46,1390.5,1356.0,16
47,1391.0,1356.5,106
48,1391.5,1356.5,32
49,1391.0,1356.0,3
50,1391.5,1356.0,17
51,1392.0,1356.5,8
52,1392.5,1356.5,8
53,1393.5,1356.5,210
54,1393.0,1356.0,4
55,1394.0,1356.5,3
56,1394.5,1356.0,2
57,1395.0,1356.5,29
58,1395.5,1356.5,192
59,1395.0,1356.0,8
60,1395.5,1356.0,13
61,1395.0,1355.5,1
62,1360.0,1349.5,72
63,1360.5,1349.5,308
64,1360.5,1349.0,78
65,1361.0,1349.5,8
66,1361.0,1349.0,184
67,1361.5,1349.0,92
68,1360.5,1348.5,8
69,1360.5,1348.0,17
70,1361.0,1348.5,7
71,1361.5,1348.5,90
72,1361.0,1348.0,73
73,1361.5,1348.0,180
74,1362.0,1348.0,13
75,1362.5,1348.0,51
76,1363.0,1348.0,59
77,1360.5,1347.5,62
78,1360.0,1347.0,28
79,1360.5,1347.0,58
80,1361.0,1347.5,67
81,1361.5,1347.5,9
82,1362.0,1347.5,122
83,1362.5,1347.5,885
84,1362.0,1347.0,174
85,1362.5,1347.0,477
86,1363.0,1347.5,1505
87,1363.5,1347.5,737
88,1363.0,1347.0,1080
89,1363.5,1347.0,286
90,1360.0,1346.5,16
91,1360.5,1346.5,15
92,1360.5,1346.0,3
93,1361.5,1346.5,32
94,1362.0,1346.5,198
95,1362.5,1346.5,57
96,1362.0,1346.0,64
97,1363.0,1346.5,348
98,1363.5,1346.5,80
99,1363.0,1346.0,52
100,1363.5,1346.0,182
101,1364.0,1346.0,62
102,1361.0,1345.0,1
103,1361.5,1345.0,27
104,1362.0,1345.5,4
105,1363.5,1345.5,130
106,1364.0,1345.5,39
107,1364.5,1345.5,4
