ID,center_x,center_y,jinkou
0,1360.0,1351.5,8
1,1388.5,1357.0,2
2,1389.0,1356.5,7
3,1389.5,1356.5,2
4,1388.5,1356.0,19
5,1388.5,1355.5,3
6,1389.5,1356.0,4
7,1389.0,1355.5,3
8,1388.0,1355.0,2
9,1388.0,1354.5,12
10,1388.0,1354.0,82
11,1388.5,1354.0,9
12,1388.0,1353.5,181
13,1388.5,1353.5,44
14,1388.5,1353.0,25
15,1388.5,1352.5,66
16,1388.0,1352.0,1
17,1388.5,1352.0,98
18,1388.0,1351.5,243
19,1388.5,1351.5,401
20,1389.0,1352.0,40
21,1389.0,1351.5,70
22,1389.5,1351.5,4
23,1392.5,1359.5,24
24,1393.0,1359.5,216
25,1393.5,1359.5,23
26,1394.0,1359.5,4
27,1394.5,1359.5,192
28,1395.0,1359.5,35
29,1391.0,1358.5,19
30,1391.5,1358.5,10
31,1392.0,1359.0,53
32,1392.5,1359.0,162
33,1392.0,1358.5,35
34,1392.5,1358.5,23
35,1393.0,1359.0,178
36,1393.5,1359.0,103
37,1393.5,1358.5,23
38,1394.0,1359.0,45
39,1394.5,1359.0,260
40,1394.0,1358.5,52
41,1394.5,1358.5,102
42,1395.0,1359.0,180
43,1395.5,1359.0,14
44,1395.0,1358.5,270
45,1390.5,1358.0,17
46,1390.5,1357.5,16
47,1391.0,1358.0,106
48,1391.5,1358.0,32
49,1391.0,1357.5,3
50,1391.5,1357.5,17
51,1392.0,1358.0,8
52,1392.5,1358.0,8
53,1393.5,1358.0,210
54,1393.0,1357.5,4
55,1394.0,1358.0,3
56,1394.5,1357.5,2
57,1395.0,1358.0,29
58,1395.5,1358.0,192
59,1395.0,1357.5,8
60,1395.5,1357.5,13
61,1395.0,1357.0,1
62,1360.0,1351.0,72
63,1360.5,1351.0,308
64,1360.5,1350.5,78
65,1361.0,1351.0,8
66,1361.0,1350.5,184
67,1361.5,1350.5,92
68,1360.5,1350.0,8
69,1360.5,1349.5,17
70,1361.0,1350.0,7
71,1361.5,1350.0,90
72,1361.0,1349.5,73
73,1361.5,1349.5,180
74,1362.0,1349.5,13
75,1362.5,1349.5,51
76,1363.0,1349.5,59
77,1360.5,1349.0,62
78,1360.0,1348.5,28
79,1360.5,1348.5,58
80,1361.0,1349.0,67
81,1361.5,1349.0,9
82,1362.0,1349.0,122
83,1362.5,1349.0,885
84,1362.0,1348.5,174
85,1362.5,1348.5,477
86,1363.0,1349.0,1505
87,1363.5,1349.0,737
88,1363.0,1348.5,1080
89,1363.5,1348.5,286
90,1360.0,1348.0,16
91,1360.5,1348.0,15
92,1360.5,1347.5,3
93,1361.5,1348.0,32
94,1362.0,1348.0,198
95,1362.5,1348.0,57
96,1362.0,1347.5,64
97,1363.0,1348.0,348
98,1363.5,1348.0,80
99,1363.0,1347.5,52
100,1363.5,1347.5,182
101,1364.0,1347.5,62
102,1361.0,1346.5,1
103,1361.5,1346.5,27
104,1362.0,1347.0,4
105,1363.5,1347.0,130
106,1364.0,1347.0,39
107,1364.5,1347.0,4
108,1364.5,1346.5,5
109,1361.0,1346.0,9
110,1361.5,1346.0,6
111,1364.0,1345.5,1
