ID,center_x,center_y,jinkou
0,1040.0,1359.5,479
1,1040.5,1359.5,1068
2,1040.0,1359.0,2048
3,1040.5,1359.0,2075
4,1041.0,1359.5,1807
5,1041.5,1359.5,2036
6,1041.0,1359.0,1952
7,1041.5,1359.0,1232
8,1042.0,1359.5,2631
9,1042.5,1359.5,2701
10,1042.0,1359.0,3300
11,1042.5,1359.0,1110
12,1043.0,1359.5,1016
13,1043.0,1359.0,67
14,1043.5,1359.0,156
15,1044.5,1359.5,1087
16,1044.0,1359.0,247
17,1044.5,1359.0,270
18,1045.0,1359.5,1955
19,1045.5,1359.5,1225
20,1045.0,1359.0,892
21,1045.5,1359.0,1506
22,1046.0,1359.5,2019
23,1046.5,1359.5,1486
24,1046.0,1359.0,611
25,1046.5,1359.0,2109
26,1047.0,1359.5,2152
27,1047.5,1359.5,1634
28,1047.0,1359.0,2184
29,1047.5,1359.0,1375
30,1048.0,1359.5,1627
31,1048.5,1359.5,2014
32,1048.0,1359.0,3967
33,1048.5,1359.0,3446
34,1049.0,1359.5,1438
35,1049.5,1359.5,900
36,1049.0,1359.0,1176
37,1049.5,1359.0,513
38,1040.0,1358.5,787
39,1040.5,1358.5,1178
40,1040.0,1358.0,665
41,1041.0,1358.5,432
42,1041.5,1358.5,1163
43,1042.0,1358.5,835
44,1042.5,1358.5,194
45,1042.5,1358.0,36
46,1043.0,1358.5,26
47,1043.0,1358.0,60
48,1043.5,1358.0,10
49,1044.0,1358.5,182
50,1044.5,1358.5,592
51,1044.0,1358.0,2774
52,1044.5,1358.0,3119
53,1045.0,1358.5,367
54,1045.5,1358.5,1456
55,1045.0,1358.0,1306
56,1045.5,1358.0,1053
57,1046.0,1358.5,817
58,1046.5,1358.5,754
59,1046.5,1358.0,1299
60,1047.0,1358.5,2439
61,1047.5,1358.5,3124
62,1047.0,1358.0,2819
63,1047.5,1358.0,2847
64,1048.0,1358.5,2563
65,1048.5,1358.5,3358
66,1048.0,1358.0,1964
67,1048.5,1358.0,3917
68,1049.0,1358.5,651
69,1049.5,1358.5,1248
70,1049.0,1358.0,1360
71,1049.5,1358.0,1210
72,1040.0,1357.5,4
73,1040.5,1357.5,41
74,1040.0,1357.0,5
75,1041.5,1357.5,79
76,1041.0,1357.0,123
77,1041.5,1357.0,1387
78,1042.0,1357.5,20
79,1042.0,1357.0,43
80,1042.5,1357.0,22
81,1043.0,1357.5,140
82,1043.5,1357.5,1037
83,1043.0,1357.0,697
84,1043.5,1357.0,138
85,1044.0,1357.5,1569
