ID,center_x,center_y,jinkou
227,1056.5,1430.0,14
228,1057.0,1430.5,129
229,1057.5,1430.5,75
230,1057.0,1430.0,300
231,1057.5,1430.0,117
232,1058.0,1430.5,24
233,1058.5,1430.5,42
234,1059.5,1430.0,95
235,1066.0,1438.0,7
236,1066.5,1438.0,27
237,1060.0,1437.0,6
238,1062.5,1437.5,3
239,1063.5,1437.5,5
240,1063.5,1437.0,14
241,1066.5,1437.0,3
242,1060.0,1436.5,21
243,1060.5,1436.5,1
244,1060.5,1436.0,28
245,1061.0,1436.0,16
246,1063.5,1436.5,9
247,1063.0,1436.0,21
248,1060.0,1435.0,37
249,1060.5,1435.0,100
250,1061.0,1435.5,8
251,1061.5,1435.5,16
252,1061.0,1435.0,44
253,1061.5,1435.0,45
254,1062.0,1435.5,14
255,1062.5,1435.5,19
256,1062.0,1435.0,15
257,1062.5,1435.0,6
258,1063.0,1435.5,13
259,1060.0,1434.5,172
260,1060.5,1434.5,17
261,1060.0,1434.0,388
262,1060.5,1434.0,174
263,1062.0,1434.5,29
264,1062.5,1434.5,30
265,1064.5,1434.0,31
266,1065.0,1434.0,109
267,1066.5,1434.0,98
268,1067.0,1434.5,9
269,1067.0,1434.0,74
270,1067.5,1434.0,61
271,1068.0,1434.0,6
272,1068.5,1434.0,2
273,1069.5,1434.0,16
274,1060.0,1433.5,321
275,1060.5,1433.5,121
276,1060.0,1433.0,183
277,1060.5,1433.0,226
278,1061.0,1433.5,78
279,1061.5,1433.5,117
280,1061.0,1433.0,13
281,1061.5,1433.0,5
282,1062.0,1433.5,24
283,1062.0,1433.0,37
284,1062.5,1433.0,43
285,1063.0,1433.0,16
286,1063.5,1433.0,2
287,1064.5,1433.5,6
288,1065.0,1433.5,15
289,1065.5,1433.5,92
290,1066.0,1433.5,23
291,1066.5,1433.5,5
292,1066.5,1433.0,13
293,1067.0,1433.5,24
294,1067.0,1433.0,5
295,1068.0,1433.5,37
296,1068.5,1433.5,11
297,1068.0,1433.0,3
298,1069.5,1433.5,14
299,1060.0,1432.5,381
300,1060.5,1432.5,235
301,1060.0,1432.0,590
302,1060.5,1432.0,37
303,1064.5,1432.0,9
304,1065.0,1432.5,7
305,1065.0,1432.0,4
306,1067.0,1432.5,16
307,1067.5,1432.5,42
308,1068.0,1432.5,57
309,1068.5,1432.5,20
310,1068.5,1432.0,24
311,1069.0,1432.5,7
312,1060.0,1431.5,427
313,1060.5,1431.5,129
314,1060.5,1431.0,25
315,1061.0,1431.5,147
316,1061.0,1431.0,444
317,1061.5,1431.0,58
318,1062.5,1431.5,60
319,1062.5,1431.0,73
320,1063.0,1431.5,7
321,1063.5,1431.5,1
322,1063.0,1431.0,2
323,1064.0,1431.5,8
324,1064.5,1431.5,4
325,1065.0,1431.5,23
326,1065.0,1431.0,7
327,1066.0,1431.5,25
328,1066.0,1431.0,20
329,1067.0,1431.0,13
330,1067.5,1431.0,42
331,1068.0,1431.5,24
332,1068.5,1431.5,180
333,1068.0,1431.0,81
334,1068.5,1431.0,58
335,1069.0,1431.0,8
336,1069.5,1431.0,11
337,1061.0,1430.5,30
338,1061.5,1430.5,122
339,1062.0,1430.5,287
340,1062.5,1430.5,45
341,1062.0,1430.0,11
342,1062.5,1430.0,25
343,1063.0,1430.5,5
344,1063.0,1430.0,33
345,1063.5,1430.0,8
346,1064.5,1430.5,9
347,1064.0,1430.0,6
348,1064.5,1430.0,62
349,1065.0,1430.0,42
350,1065.5,1430.0,7
351,1067.5,1430.5,1
352,1069.0,1430.5,10
353,1069.5,1430.5,28
354,1072.5,1439.5,9
355,1073.0,1439.5,6
356,1073.0,1438.5,11
357,1073.5,1438.0,1
358,1070.0,1434.0,32
359,1070.5,1434.0,4
360,1071.0,1434.0,31
361,1071.5,1434.0,6
362,1071.0,1433.5,16
363,1071.5,1433.5,36
364,1071.5,1433.0,4
365,1072.0,1433.5,14
366,1072.5,1433.5,4
367,1072.0,1433.0,5
368,1070.0,1432.0,3
369,1070.5,1432.0,15
370,1071.0,1432.0,11
371,1075.5,1432.5,9
372,1075.0,1432.0,28
373,1075.5,1432.0,4
374,1076.0,1432.5,40
375,1076.5,1432.5,18
376,1077.0,1432.5,4
377,1079.0,1432.0,6
378,1079.5,1432.0,20
379,1074.5,1431.5,5
380,1075.5,1431.0,5
381,1076.0,1431.0,15
382,1070.0,1430.0,5
383,1070.5,1430.0,45
384,1073.5,1430.5,20
385,1073.5,1430.0,65
386,1074.0,1430.5,8
387,1074.5,1430.5,3
388,1074.0,1430.0,68
389,1074.5,1430.0,50
390,1084.5,1439.5,19
391,1082.5,1438.5,3
392,1099.0,1439.5,2
393,1094.5,1435.0,4
394,1095.0,1435.5,9
395,1095.5,1435.5,29
396,1095.0,1435.0,4
397,1096.0,1435.5,6
398,1096.5,1435.0,5
399,1096.0,1434.5,7
400,1096.5,1434.5,15
401,1099.5,1433.0,23
402,1099.5,1432.5,29
403,1103.0,1439.5,32
404,1103.0,1439.0,5
405,1107.0,1439.5,17
406,1107.0,1439.0,4
407,1103.5,1438.5,43
408,1103.5,1438.0,9
409,1104.0,1438.0,9
410,1102.0,1437.0,20
411,1102.5,1437.0,49
412,1104.0,1437.5,2
413,1102.5,1436.5,93
414,1102.0,1436.0,6
415,1102.5,1436.0,17
416,1103.0,1436.5,12
417,1102.5,1435.5,3
418,1103.0,1435.0,31
419,1102.0,1434.5,13
420,1102.5,1434.5,42
421,1102.5,1434.0,8
422,1103.0,1434.0,6
423,1102.5,1433.5,14
424,1103.0,1433.5,15
425,1103.5,1433.5,9
426,1103.0,1433.0,21
427,1103.5,1433.0,14
428,1104.5,1433.0,7
429,1105.0,1433.5,3
430,1105.0,1433.0,14
431,1103.0,1432.5,21
432,1103.5,1432.5,16
433,1104.5,1432.0,17
434,1109.0,1431.5,155
435,1100.5,1430.5,12
436,1100.5,1430.0,12
437,1116.0,1439.5,84
438,1116.5,1439.5,27
439,1116.0,1439.0,91
440,1117.0,1439.5,50
441,1117.0,1439.0,58
442,1118.0,1439.5,71
443,1118.5,1439.5,14
444,1118.0,1439.0,7
445,1118.5,1439.0,27
446,1115.5,1438.5,25
447,1116.0,1438.5,3
448,1116.0,1438.0,11
449,1118.0,1438.5,11
450,1118.0,1438.0,29
451,1116.0,1437.0,2
452,1118.0,1437.5,5
453,1118.0,1437.0,9
454,1116.0,1436.5,71
455,1116.5,1436.5,51
456,1117.5,1436.5,17
457,1116.5,1435.5,5
458,1116.5,1435.0,70
459,1117.0,1435.5,48
460,1117.0,1435.0,135
461,1116.5,1434.5,55
462,1116.5,1434.0,13
463,1048.0,1429.5,662
464,1048.5,1429.5,700
465,1048.0,1429.0,647
466,1048.5,1429.0,663
467,1049.0,1429.5,948
468,1049.5,1429.5,1163
469,1049.0,1429.0,391
470,1049.5,1429.0,214
471,1048.0,1428.5,11
472,1048.5,1428.5,78
473,1048.5,1428.0,64
474,1049.0,1428.5,349
475,1049.5,1428.5,21
476,1049.0,1428.0,646
477,1049.5,1428.0,363
478,1049.0,1427.5,813
479,1049.5,1427.5,184
480,1049.0,1427.0,268
481,1049.5,1427.0,4
482,1050.0,1429.5,431
483,1050.5,1429.5,642
484,1050.0,1429.0,5
485,1051.0,1429.5,379
486,1051.5,1429.5,105
487,1052.0,1429.5,10
488,1052.5,1429.5,280
489,1053.0,1429.5,185
490,1053.5,1429.5,358
491,1053.0,1429.0,13
492,1053.5,1429.0,40
493,1054.0,1429.5,154
494,1054.0,1429.0,42
495,1054.5,1429.0,8
496,1057.0,1429.5,75
497,1057.5,1429.5,3
498,1050.0,1428.0,149
499,1051.0,1428.0,9
500,1053.0,1428.5,10
501,1054.5,1428.5,4
502,1054.0,1428.0,6
503,1054.5,1428.0,6
504,1055.5,1428.5,17
505,1057.0,1428.5,1
506,1058.0,1428.0,16
507,1059.0,1428.5,16
508,1059.5,1428.5,45
509,1059.5,1428.0,8
510,1050.0,1427.5,64
511,1050.5,1427.5,8
512,1051.0,1427.5,188
513,1051.5,1427.5,34
514,1051.0,1427.0,221
515,1051.5,1427.0,76
516,1052.5,1427.5,137
517,1052.0,1427.0,246
518,1052.5,1427.0,170
519,1053.0,1427.5,22
520,1053.5,1427.5,78
521,1053.0,1427.0,112
522,1053.5,1427.0,68
523,1054.0,1427.5,9
524,1054.5,1427.0,31
525,1057.0,1427.5,82
526,1050.5,1426.5,247
527,1050.0,1426.0,2
528,1050.5,1426.0,3
529,1051.0,1426.5,482
530,1051.5,1426.5,531
531,1051.5,1426.0,44
532,1052.0,1426.5,556
533,1052.5,1426.5,468
534,1052.0,1426.0,154
535,1052.5,1426.0,32
536,1053.0,1426.5,52
537,1053.5,1426.0,14
538,1054.5,1426.5,36
539,1055.0,1426.5,7
540,1055.0,1426.0,1
541,1055.5,1426.0,140
542,1056.5,1426.5,105
543,1056.5,1426.0,46
544,1057.5,1426.5,17
545,1057.5,1426.0,9
546,1050.5,1425.0,26
547,1051.5,1425.5,73
548,1051.0,1425.0,34
549,1051.5,1425.0,396
550,1052.0,1425.5,461
551,1052.5,1425.5,129
552,1052.0,1425.0,416
553,1052.5,1425.0,269
554,1053.0,1425.5,3
555,1053.5,1425.5,20
556,1053.5,1425.0,19
557,1054.5,1425.5,28
558,1054.0,1425.0,29
559,1054.5,1425.0,145
560,1055.0,1425.5,93
561,1055.5,1425.5,210
562,1055.0,1425.0,56
563,1055.5,1425.0,85
564,1057.0,1425.5,5
565,1057.5,1425.5,164
566,1057.0,1425.0,94
567,1057.5,1425.0,187
568,1058.0,1425.0,23
569,1050.5,1424.5,12
570,1050.0,1424.0,17
571,1050.5,1424.0,206
572,1051.0,1424.5,53
573,1051.5,1424.5,234
574,1051.5,1424.0,62
575,1052.0,1424.5,229
576,1052.5,1424.5,991
577,1052.0,1424.0,68
578,1052.5,1424.0,93
579,1053.0,1424.5,351
580,1053.5,1424.5,369
581,1053.0,1424.0,401
582,1053.5,1424.0,120
583,1054.0,1424.5,263
584,1054.5,1424.5,256
585,1054.0,1424.0,113
586,1055.0,1424.5,121
587,1055.5,1424.5,285
588,1056.0,1424.5,69
589,1056.5,1424.5,119
590,1057.0,1424.5,2
591,1057.5,1424.5,164
592,1058.0,1424.5,7
593,1059.0,1424.5,6
594,1059.5,1424.5,33
595,1059.5,1424.0,44
596,1050.0,1423.5,95
597,1050.5,1423.5,191
598,1052.0,1423.5,31
599,1052.5,1423.5,185
600,1052.0,1423.0,22
601,1052.5,1423.0,6
602,1053.0,1423.5,308
603,1053.5,1423.5,18
604,1054.5,1423.0,10
605,1055.5,1423.5,16
606,1055.0,1423.0,93
607,1055.5,1423.0,62
608,1059.5,1423.5,55
609,1059.5,1423.0,14
610,1054.5,1422.5,25
611,1055.0,1422.5,376
612,1055.5,1422.5,14
613,1056.0,1422.5,63
614,1056.5,1422.5,342
615,1056.0,1422.0,20
616,1056.5,1422.0,795
617,1057.0,1422.5,123
618,1057.0,1422.0,817
619,1057.5,1422.0,527
620,1058.0,1422.0,217
621,1058.5,1422.0,10
622,1059.0,1422.5,5
623,1059.0,1422.0,34
624,1059.5,1422.0,34
625,1054.0,1421.5,72
626,1054.0,1421.0,171
627,1054.5,1421.0,230
628,1055.0,1421.0,32
629,1055.5,1421.0,399
630,1056.0,1421.5,36
631,1056.5,1421.5,579
632,1056.0,1421.0,375
633,1056.5,1421.0,1430
634,1057.0,1421.5,1245
635,1057.5,1421.5,1642
636,1057.0,1421.0,1560
637,1057.5,1421.0,1158
638,1058.0,1421.5,1100
639,1058.5,1421.5,406
640,1058.0,1421.0,578
641,1058.5,1421.0,354
642,1059.0,1421.5,456
643,1059.5,1421.5,662
644,1059.0,1421.0,263
645,1059.5,1421.0,250
646,1054.0,1420.5,41
647,1054.5,1420.5,333
648,1054.5,1420.0,894
649,1055.0,1420.5,519
650,1055.5,1420.5,995
651,1055.0,1420.0,550
652,1055.5,1420.0,71
653,1056.0,1420.5,1688
654,1056.5,1420.5,1193
655,1056.0,1420.0,314
656,1056.5,1420.0,371
657,1057.0,1420.5,702
658,1057.5,1420.5,533
659,1057.0,1420.0,12
660,1057.5,1420.0,6
661,1058.0,1420.5,164
662,1058.0,1420.0,3
663,1058.5,1420.0,3
664,1059.0,1420.5,224
665,1059.5,1420.5,260
666,1059.0,1420.0,382
667,1059.5,1420.0,131
668,1060.0,1429.0,2
669,1060.5,1429.0,15
670,1062.0,1429.5,14
671,1062.5,1429.5,11
672,1062.0,1429.0,3
673,1062.5,1429.0,41
674,1063.0,1429.5,9
675,1063.5,1429.5,31
676,1063.0,1429.0,15
677,1064.0,1429.5,45
678,1064.5,1429.5,8
679,1065.5,1429.5,8
680,1065.0,1429.0,14
681,1065.5,1429.0,11
682,1066.5,1429.5,47
683,1066.0,1429.0,5
684,1066.5,1429.0,5
685,1067.0,1429.5,5
686,1068.5,1429.5,6
687,1069.5,1429.0,3
688,1060.0,1428.5,16
689,1060.5,1428.5,71
690,1060.0,1428.0,24
691,1060.5,1428.0,8
692,1061.5,1428.5,24
693,1062.0,1428.5,108
694,1062.5,1428.5,47
695,1062.0,1428.0,128
696,1062.5,1428.0,14
697,1063.0,1428.0,27
698,1063.5,1428.0,37
699,1064.5,1428.0,4
700,1065.5,1428.5,23
701,1065.0,1428.0,1
702,1065.5,1428.0,21
703,1066.0,1428.5,10
704,1066.5,1428.5,3
705,1066.0,1428.0,24
706,1066.5,1428.0,18
707,1067.0,1428.5,2
708,1067.5,1428.5,34
709,1068.5,1428.5,6
710,1068.0,1428.0,3
711,1068.5,1428.0,17
712,1069.5,1428.5,12
713,1069.0,1428.0,23
714,1069.5,1428.0,26
715,1060.0,1427.0,65
716,1062.5,1427.0,2
717,1063.0,1427.5,16
718,1063.5,1427.5,49
719,1063.0,1427.0,8
720,1063.5,1427.0,9
721,1064.5,1427.5,9
722,1064.5,1427.0,1
723,1065.0,1427.5,9
724,1065.0,1427.0,2
725,1066.0,1427.5,1
726,1066.5,1427.5,2
